STATE,RULE,LOOKAHEAD,ACTION / GOTO,STATE(S) / RULE (R)
"S18","<data_type> -> THOUGHT .","L_BRACKET","Reduce (<data_type>)","R46"
,,,,
"S19","<data_type> -> PULSE .","L_BRACKET","Reduce (<data_type>)","R43"
,,,,
"S20","<data_type> -> SYNAPSE .","L_BRACKET","Reduce (<data_type>)","R48"
,,,,
"S21","<data_type> -> STREAM .","L_BRACKET","Reduce (<data_type>)","R45"
,,,,
"S22","<data_type> -> SPARK .","L_BRACKET","Reduce (<data_type>)","R44"
,,,,
"S23","<data_type> -> NEURON .","L_BRACKET","Reduce (<data_type>)","R47"
,,,,
"S24","<rec_type> -> CLUSTER <data_type> . L_BRACKET R_BRACKET","IDENTIFIER","Shift (L_BRACKET)","S61"
"S24","<rec_type> -> CLUSTER <data_type> . L_BRACKET R_BRACKET L_BRACKET R_BRACKET","IDENTIFIER","Shift (L_BRACKET)","S61"
,,,,
"S25","<subroutine> -> ACTION <rec_type> IDENTIFIER . L_PAREN <params> R_PAREN L_BRACE <statement_list> R_BRACE","ACTION, ACTIVATE","Shift (L_PAREN)","S62"
,,,,
"S26","<program> -> <subroutine_list> ACTIVATE L_BRACE <statement_list> R_BRACE .","$","Reduce (<program>)","R1"
,,,,
"S27","<loop_stmt> -> ECHO . L_PAREN <echo_init> <expr> SEMICOLON <assign_stmt> R_PAREN L_BRACE <statement_list> R_BRACE","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (L_PAREN)","S63"
,,,,
"S28","<builtin_call> -> LENGTH . L_PAREN <expr> R_PAREN","SEMICOLON","Shift (L_PAREN)","S64"
,,,,
"S29","<data_type> -> SYNAPSE .","CLUSTER, IDENTIFIER","Reduce (<data_type>)","R48"
,,,,
"S30","<statement> -> RECALL . <expr> SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<expr>)","S66"
"S30","<expr> -> . <logic_or>","SEMICOLON","Goto (<logic_or>)","S90"
"S30","<logic_or> -> . <logic_or> <or_op> <logic_xor>","OR, SEMICOLON","Goto (<logic_or>)","S90"
"S30","<logic_or> -> . <logic_xor>","OR, SEMICOLON","Goto (<logic_xor>)","S83"
"S30","<logic_xor> -> . <logic_xor> <xor_op> <logic_and>","OR, SEMICOLON, XOR","Goto (<logic_xor>)","S83"
"S30","<logic_xor> -> . <logic_and>","OR, SEMICOLON, XOR","Goto (<logic_and>)","S77"
"S30","<logic_and> -> . <logic_and> <and_op> <rel_equal>","AND, OR, SEMICOLON, XOR","Goto (<logic_and>)","S77"
"S30","<logic_and> -> . <rel_equal>","AND, OR, SEMICOLON, XOR","Goto (<rel_equal>)","S79"
