### 1. FIRST SETS
<unary_expr>              | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<postfix_expr>            | [NEURON_LIT, LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, FALSE, TRANSCRIBE, L_PAREN, IDENTIFIER, STREAM_LIT]
<factor>                  | [NEURON_LIT, LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, FALSE, TRANSCRIBE, L_PAREN, IDENTIFIER, STREAM_LIT]
<variable_access>         | [IDENTIFIER]
<subroutine_call>         | [IDENTIFIER]
<builtin_call>            | [LENGTH, TRANSCRIBE]
<arg_list>                | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, ε, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<args>                    | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<literal>                 | [NEURON_LIT, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, FALSE, STREAM_LIT]
<assign_op>               | [DIV_ASSIGN, MOD_ASSIGN, MUL_ASSIGN, PLUS_ASSIGN, MINUS_ASSIGN, ASSIGN]
<or_op>                   | [OR]
<xor_op>                  | [XOR]
<and_op>                  | [AND]
<releq_op>                | [NOT_EQUAL, EQUAL_TO]
<rel_op>                  | [LESS_EQ, GREATER, LESS, GREATER_EQ]
<add_op>                  | [PLUS, MINUS]
<mul_op>                  | [MOD, STAR, SLASH]
<unary_op>                | [INCREMENT, DECREMENT, PLUS]


### 2. FOLLOW SETS
<program'>                | [$]
<program>                 | [$]
<subroutine_list>         | [ACTIVATE, ACTION]
<subroutine>              | [ACTIVATE, ACTION]
<params>                  | [R_PAREN]
<param_list>              | [COMMA, R_PAREN]
<param_item>              | [COMMA, R_PAREN]
<rec_type>                | [IDENTIFIER]
<declaration>             | [PATH, R_BRACE, ECHO, LENGTH, SYNAPSE, RECALL, SPARK_LIT, SPARK, L_PAREN, FLOW, DECREMENT, BASE, THOUGHT, EVALUATE, EXPRESS, IDENTIFIER, INSTINCT, DORMANT, CYCLE, STIMULATE, STREAM, THOUGHT_LIT, TRUE, PULSE_LIT, NEURON_LIT, INCREMENT, PULSE, TRANSCRIBE, FALSE, REACT, SENSE, NEURON, STREAM_LIT, PLUS]
<id_decl>                 | [PATH, R_BRACE, ECHO, LENGTH, SYNAPSE, RECALL, SPARK_LIT, SPARK, L_PAREN, FLOW, DECREMENT, BASE, THOUGHT, EVALUATE, EXPRESS, IDENTIFIER, INSTINCT, DORMANT, CYCLE, STIMULATE, STREAM, THOUGHT_LIT, TRUE, PULSE_LIT, NEURON_LIT, INCREMENT, PULSE, TRANSCRIBE, FALSE, REACT, SENSE, NEURON, STREAM_LIT, PLUS]
<id_list>                 | [COMMA, SEMICOLON]
<id_init>                 | [COMMA, SEMICOLON]
<const_decl>              | [PATH, R_BRACE, ECHO, LENGTH, SYNAPSE, RECALL, SPARK_LIT, SPARK, L_PAREN, FLOW, DECREMENT, BASE, THOUGHT, EVALUATE, EXPRESS, IDENTIFIER, INSTINCT, DORMANT, CYCLE, STIMULATE, STREAM, THOUGHT_LIT, TRUE, PULSE_LIT, NEURON_LIT, INCREMENT, PULSE, TRANSCRIBE, FALSE, REACT, SENSE, NEURON, STREAM_LIT, PLUS]
<const_list>              | [COMMA, SEMICOLON]
<const_init>              | [COMMA, SEMICOLON]
